farmer_id,county,crop_type,farm_size_acres,rainfall_received_mm,soil_quality_score,fertilizer_used,years_insured,previous_claims_3yr,distance_to_market_km,claim_filed
KE-FARM-0001,Trans Nzoia,Beans,7.4,577.9,8,1,10,1,13.1,0
KE-FARM-0002,Laikipia,Sunflower,2.6,303.9,1,1,12,1,1.0,0
KE-FARM-0003,Kitui,Sorghum,6.0,653.0,10,0,5,1,13.2,0
KE-FARM-0004,Nakuru,Sunflower,4.5,910.1,9,0,3,1,1.4,0
KE-FARM-0005,Laikipia,Sunflower,5.2,563.4,2,0,10,4,2.6,0
KE-FARM-0006,Meru,Wheat,2.7,573.3,3,1,2,2,1.3,0
KE-FARM-0007,Uasin Gishu,Sorghum,4.0,469.1,2,1,15,1,2.8,0
KE-FARM-0008,Meru,Sorghum,6.5,672.2,8,1,9,1,16.0,0
KE-FARM-0009,Nyandarua,Sorghum,2.0,499.4,2,0,13,1,1.4,0
KE-FARM-0010,Nyandarua,Sunflower,6.6,753.2,10,0,1,0,51.4,0
KE-FARM-0011,Uasin Gishu,Beans,3.6,501.4,2,1,5,0,4.0,0
KE-FARM-0012,Trans Nzoia,Sorghum,0.7,651.3,1,1,5,0,25.5,0
KE-FARM-0013,Trans Nzoia,Sunflower,0.5,593.0,7,1,8,1,2.1,0
KE-FARM-0014,Nyandarua,Wheat,1.8,833.3,2,1,6,0,2.1,0
KE-FARM-0015,Nyandarua,Beans,3.2,661.4,10,0,6,3,8.3,0
KE-FARM-0016,Kitui,Wheat,7.3,808.1,5,0,6,0,1.0,0
KE-FARM-0017,Nakuru,Beans,0.5,616.3,5,0,4,0,16.1,0
KE-FARM-0018,Kitui,Sunflower,6.4,574.4,3,0,15,0,5.8,0
KE-FARM-0019,Kitui,Maize,8.0,594.3,3,0,1,2,12.0,0
KE-FARM-0020,Trans Nzoia,Beans,0.7,484.3,3,0,3,0,1.9,0
KE-FARM-0021,Uasin Gishu,Wheat,7.6,679.8,6,0,13,1,10.3,0
KE-FARM-0022,Trans Nzoia,Sunflower,19.0,496.4,4,0,13,2,9.0,0
KE-FARM-0023,Nakuru,Beans,5.2,616.9,3,1,15,1,14.1,0
KE-FARM-0024,Meru,Maize,6.1,728.3,2,0,10,2,3.5,0
KE-FARM-0025,Nyandarua,Maize,20.8,837.5,3,1,12,1,27.1,0
KE-FARM-0026,Nyandarua,Sorghum,3.7,624.4,4,1,11,1,32.5,0
KE-FARM-0027,Nakuru,Sorghum,1.5,729.2,6,1,6,0,20.3,0
KE-FARM-0028,Kitui,Wheat,7.3,711.3,4,1,5,0,8.5,0
KE-FARM-0029,Uasin Gishu,Beans,3.8,542.6,8,0,10,2,5.5,1
KE-FARM-0030,Nyandarua,Beans,3.5,916.2,3,1,1,0,1.0,1
KE-FARM-0031,Laikipia,Sorghum,1.2,513.6,3,1,5,1,29.4,0
KE-FARM-0032,Kitui,Beans,5.6,613.6,3,1,2,0,30.3,0
KE-FARM-0033,Nyandarua,Beans,0.5,818.1,8,0,1,0,1.0,0
KE-FARM-0034,Laikipia,Maize,10.3,814.4,4,0,4,0,4.4,0
KE-FARM-0035,Nakuru,Sorghum,1.6,602.1,1,0,6,1,21.2,1
KE-FARM-0036,Nakuru,Sunflower,0.5,748.6,2,1,7,2,1.0,1
KE-FARM-0037,Kitui,Sorghum,2.3,566.4,10,1,9,0,2.2,0
KE-FARM-0038,Nyandarua,Sunflower,0.5,526.7,2,0,5,2,38.5,1
KE-FARM-0039,Trans Nzoia,Maize,4.6,418.1,3,1,8,0,18.8,0
KE-FARM-0040,Laikipia,Wheat,9.3,708.6,6,1,8,0,24.3,0
KE-FARM-0041,Uasin Gishu,Beans,7.3,724.4,8,1,11,1,1.5,0
KE-FARM-0042,Nyandarua,Maize,0.5,514.8,1,1,9,1,2.4,0
KE-FARM-0043,Uasin Gishu,Beans,0.5,640.2,9,1,3,1,9.3,0
KE-FARM-0044,Nyandarua,Wheat,6.7,997.6,1,0,3,1,7.0,0
