borrower_id,business_type,loan_purpose,loan_amount_ksh,loan_term_months,mpesa_transactions_monthly,mpesa_avg_balance_ksh,prev_loans_repaid,prev_loans_defaulted,group_lending_member,dependants,business_age_months,has_mobile_money_savings,loan_defaulted
MFI-00001,Food Vendor,Stock Purchase,76502.0,9,9,3713.0,0,3,1,1,93,0,0
MFI-00002,Kiosk Owner,Equipment,32214.0,9,18,32976.0,1,0,0,4,1,1,0
MFI-00003,Jua Kali Artisan,Equipment,15414.0,12,21,2758.0,2,0,0,2,64,1,0
MFI-00004,Market Trader,Business Expansion,39039.0,18,20,3236.0,0,0,0,4,118,1,0
MFI-00005,Kiosk Owner,Business Expansion,16333.0,6,13,,1,0,1,2,3,0,0
MFI-00006,Food Vendor,Business Expansion,44739.0,3,19,6615.0,1,1,0,3,20,0,1
MFI-00007,Jua Kali Artisan,Equipment,26552.0,18,16,4747.0,3,2,0,4,28,1,0
MFI-00008,Jua Kali Artisan,Equipment,32508.0,18,19,,1,0,0,3,39,1,0
MFI-00009,Food Vendor,Equipment,18814.0,6,12,1968.0,2,0,0,2,1,1,0
MFI-00010,Food Vendor,Stock Purchase,67442.0,9,16,5582.0,3,1,1,0,11,1,1
MFI-00011,Jua Kali Artisan,Business Expansion,32311.0,3,16,22237.0,2,1,0,4,6,1,0
MFI-00012,Market Trader,Stock Purchase,20123.0,3,29,,2,1,1,3,52,1,0
MFI-00013,Jua Kali Artisan,Business Expansion,32972.0,3,13,12425.0,3,1,1,4,86,1,0
MFI-00014,Food Vendor,Medical Emergency,145489.0,12,19,6918.0,2,1,0,5,25,0,1
MFI-00015,Market Trader,Stock Purchase,47470.0,9,17,4187.0,2,0,1,2,23,1,0
MFI-00016,Kiosk Owner,Business Expansion,85879.0,9,21,,1,0,0,3,14,0,0
MFI-00017,Boda Boda Operator,School Fees,10003.0,9,18,7149.0,2,0,1,3,6,1,0
MFI-00018,Boda Boda Operator,Medical Emergency,31011.0,6,11,16844.0,0,0,1,3,5,1,0
MFI-00019,Boda Boda Operator,Stock Purchase,16319.0,12,10,1385.0,1,0,1,1,13,0,0
MFI-00020,Kiosk Owner,Stock Purchase,23969.0,6,19,8707.0,2,0,1,3,4,1,0
MFI-00021,Kiosk Owner,School Fees,19668.0,6,10,,2,0,1,3,11,1,0
MFI-00022,Jua Kali Artisan,Equipment,101876.0,9,22,6991.0,1,0,1,2,28,1,0
MFI-00023,Kiosk Owner,School Fees,64443.0,12,15,2343.0,0,0,1,0,52,1,0
MFI-00024,Kiosk Owner,Equipment,19845.0,12,22,5683.0,2,0,1,3,19,0,0
MFI-00025,Food Vendor,Stock Purchase,25041.0,6,22,1907.0,1,0,0,3,19,1,0
MFI-00026,Kiosk Owner,Equipment,48547.0,9,24,12965.0,1,0,1,1,5,1,0
MFI-00027,Food Vendor,School Fees,74050.0,12,21,5194.0,3,0,0,2,40,0,1
MFI-00028,Jua Kali Artisan,Business Expansion,83516.0,6,15,29402.0,2,1,0,5,21,0,1
MFI-00029,Boda Boda Operator,Medical Emergency,60361.0,6,19,6669.0,1,0,1,3,75,0,0
MFI-00030,Market Trader,Stock Purchase,150000.0,9,16,1810.0,1,0,1,2,25,1,0
MFI-00031,Boda Boda Operator,Medical Emergency,51094.0,12,12,1003.0,3,0,1,5,22,1,0
MFI-00032,Jua Kali Artisan,School Fees,25440.0,6,15,20346.0,1,0,1,4,8,0,0
MFI-00033,Market Trader,Medical Emergency,18924.0,9,13,2703.0,0,0,0,8,22,0,1
MFI-00034,Boda Boda Operator,Business Expansion,15312.0,3,20,1833.0,2,0,1,4,26,0,1
MFI-00035,Jua Kali Artisan,Business Expansion,13797.0,18,15,18853.0,3,0,1,2,8,0,0
MFI-00036,Jua Kali Artisan,Business Expansion,62300.0,12,28,3181.0,1,0,0,5,1,0,0
MFI-00037,Food Vendor,School Fees,129659.0,18,16,12243.0,0,0,0,3,28,0,0
MFI-00038,Kiosk Owner,Business Expansion,39490.0,18,15,6993.0,1,1,1,5,17,1,1
MFI-00039,Food Vendor,Stock Purchase,150000.0,12,20,724.0,3,0,0,2,12,1,1
MFI-00040,Food Vendor,Business Expansion,37124.0,6,23,9323.0,0,0,0,2,30,0,0
MFI-00041,Boda Boda Operator,School Fees,59013.0,9,18,1858.0,1,0,0,6,32,1,0
MFI-00042,Jua Kali Artisan,Business Expansion,10241.0,6,20,1432.0,1,1,1,2,9,1,0
MFI-00043,Kiosk Owner,Medical Emergency,69549.0,3,16,536.0,2,0,1,1,1,1,0
MFI-00044,Jua Kali Artisan,Business Expansion,21814.0,3,22,1548.0,1,0,1,2,6,1,0
MFI-00045,Market Trader,School Fees,70578.0,12,16,,0,0,0,2,61,1,0
MFI-00046,Boda Boda Operator,Medical Emergency,101366.0,12,16,,1,2,1,2,8,1,0
MFI-00047,Food Vendor,Equipment,46344.0,12,18,5714.0,5,0,1,1,4,0,0
MFI-00048,Kiosk Owner,Stock Purchase,51359.0,6,24,11885.0,1,0,0,1,50,0,0
MFI-00049,Kiosk Owner,Business Expansion,39927.0,3,15,897.0,1,0,0,3,1,1,0
MFI-00050,Kiosk Owner,School Fees,60578.0,6,13,613.0,3,0,0,2,40,1,1
MFI-00051,Market Trader,Stock Purchase,150000.0,9,18,50000.0,2,2,0,0,36,1,0
MFI-00052,Food Vendor,Medical Emergency,36651.0,6,17,4642.0,5,0,0,7,20,1,1
MFI-00053,Kiosk Owner,School Fees,41434.0,9,20,8387.0,1,0,1,4,24,0,0
MFI-00054,Jua Kali Artisan,Business Expansion,8754.0,9,24,1165.0,3,0,1,3,4,1,0
MFI-00055,Kiosk Owner,Business Expansion,50902.0,3,20,9719.0,1,1,0,1,20,0,1
MFI-00056,Kiosk Owner,Equipment,19440.0,18,21,14022.0,1,0,1,1,19,0,0
MFI-00057,Kiosk Owner,Stock Purchase,31000.0,9,27,728.0,4,0,0,4,5,0,0
MFI-00058,Market Trader,Business Expansion,53205.0,12,11,8008.0,1,0,0,3,33,1,0
MFI-00059,Food Vendor,Medical Emergency,9968.0,9,10,7864.0,2,0,1,2,1,1,0
MFI-00060,Jua Kali Artisan,Medical Emergency,52706.0,12,21,406.0,2,0,1,4,11,0,0
MFI-00061,Boda Boda Operator,Medical Emergency,44396.0,12,16,5898.0,0,0,1,3,25,1,0
MFI-00062,Kiosk Owner,Medical Emergency,63740.0,9,16,,1,1,0,3,39,1,1
MFI-00063,Food Vendor,Stock Purchase,21790.0,6,24,7791.0,2,1,1,3,20,1,0
MFI-00064,Market Trader,Equipment,88438.0,9,20,,3,1,1,4,61,1,0
MFI-00065,Jua Kali Artisan,Equipment,46347.0,6,17,7854.0,2,0,1,3,11,1,0
MFI-00066,Food Vendor,School Fees,20572.0,12,21,3617.0,1,0,0,4,81,0,0
MFI-00067,Kiosk Owner,Stock Purchase,12142.0,3,12,3188.0,4,0,0,1,6,0,0
MFI-00068,Food Vendor,School Fees,23549.0,9,15,6073.0,2,0,0,1,16,1,0
MFI-00069,Market Trader,Business Expansion,72881.0,9,17,3795.0,1,0,1,3,60,1,0
MFI-00070,Boda Boda Operator,School Fees,51866.0,6,25,1120.0,3,1,1,2,19,1,1
MFI-00071,Market Trader,Medical Emergency,6525.0,9,23,5967.0,5,0,1,5,25,1,0
MFI-00072,Boda Boda Operator,Equipment,27822.0,6,12,4095.0,1,0,1,3,60,0,0
MFI-00073,Kiosk Owner,Equipment,40147.0,3,22,4088.0,1,0,1,5,69,0,0
MFI-00074,Jua Kali Artisan,Equipment,150000.0,6,16,3439.0,3,0,0,4,6,0,0
MFI-00075,Market Trader,Stock Purchase,101747.0,18,12,4032.0,4,0,1,5,38,0,0
MFI-00076,Jua Kali Artisan,Medical Emergency,31481.0,6,17,2564.0,1,0,0,3,76,1,1
MFI-00077,Market Trader,School Fees,41979.0,6,23,11577.0,2,0,1,2,1,1,0
MFI-00078,Jua Kali Artisan,Business Expansion,12208.0,12,19,3178.0,2,0,0,1,17,1,0
MFI-00079,Boda Boda Operator,Stock Purchase,4441.0,6,24,,1,2,0,4,44,1,1
MFI-00080,Food Vendor,Business Expansion,26435.0,6,14,2423.0,1,0,0,1,13,0,0
MFI-00081,Food Vendor,Stock Purchase,81024.0,3,14,1645.0,2,1,1,2,16,1,0
MFI-00082,Boda Boda Operator,Medical Emergency,41975.0,3,16,4386.0,0,0,1,1,75,1,0
MFI-00083,Boda Boda Operator,Stock Purchase,19946.0,9,12,9667.0,1,0,0,5,28,0,0
MFI-00084,Kiosk Owner,Business Expansion,75354.0,3,23,13860.0,1,0,1,1,23,1,0
MFI-00085,Market Trader,Stock Purchase,150000.0,9,15,10049.0,1,0,1,1,36,1,0
MFI-00086,Jua Kali Artisan,Medical Emergency,11035.0,6,15,1911.0,1,0,0,5,38,1,0
MFI-00087,Boda Boda Operator,Equipment,34820.0,3,18,5195.0,4,0,0,3,36,1,0
MFI-00088,Jua Kali Artisan,Stock Purchase,23713.0,6,19,4519.0,2,0,1,4,6,0,0
MFI-00089,Market Trader,Business Expansion,37627.0,6,19,10172.0,2,1,1,1,1,1,0
MFI-00090,Jua Kali Artisan,Business Expansion,25213.0,12,20,8177.0,3,2,0,4,20,1,0
MFI-00091,Food Vendor,Stock Purchase,150000.0,6,19,,0,0,1,2,1,1,0
MFI-00092,Kiosk Owner,Medical Emergency,33007.0,9,26,,1,0,1,4,1,1,0
MFI-00093,Market Trader,School Fees,46174.0,9,14,8702.0,0,0,0,2,120,1,0
MFI-00094,Market Trader,Equipment,41528.0,6,13,6828.0,2,0,1,6,21,1,1
MFI-00095,Kiosk Owner,Medical Emergency,13326.0,9,9,4738.0,3,0,0,3,28,0,0
MFI-00096,Market Trader,School Fees,42737.0,12,21,,3,1,0,6,107,0,1
MFI-00097,Kiosk Owner,Business Expansion,11186.0,3,25,,2,0,1,3,13,0,0
MFI-00098,Boda Boda Operator,Stock Purchase,150000.0,9,22,,4,0,1,1,52,1,0
MFI-00099,Boda Boda Operator,Business Expansion,74803.0,6,14,1504.0,2,0,0,6,31,1,0
MFI-00100,Jua Kali Artisan,Stock Purchase,22892.0,6,23,32273.0,0,0,0,2,9,0,0
MFI-00101,Food Vendor,Equipment,31776.0,9,19,32033.0,2,0,0,3,2,1,0
MFI-00102,Food Vendor,Stock Purchase,82535.0,9,19,1339.0,2,0,1,2,24,1,0
MFI-00103,Market Trader,Business Expansion,45173.0,9,17,2638.0,1,1,0,2,93,0,1
MFI-00104,Market Trader,School Fees,9689.0,9,17,3613.0,2,0,1,1,19,1,0
MFI-00105,Jua Kali Artisan,School Fees,41549.0,12,10,2656.0,4,0,1,5,74,1,0
MFI-00106,Food Vendor,School Fees,86539.0,9,21,2682.0,1,0,0,6,2,0,0
MFI-00107,Boda Boda Operator,Stock Purchase,5614.0,6,18,,2,0,0,9,66,1,0
MFI-00108,Boda Boda Operator,Medical Emergency,40554.0,3,16,6347.0,4,0,1,1,67,0,0
MFI-00109,Kiosk Owner,Business Expansion,18611.0,3,13,,1,1,0,2,12,1,0
MFI-00110,Boda Boda Operator,Business Expansion,100105.0,3,21,4214.0,3,0,0,2,3,1,0
MFI-00111,Food Vendor,Medical Emergency,25277.0,3,17,3931.0,1,1,1,1,80,0,0
MFI-00112,Kiosk Owner,School Fees,23283.0,6,13,,1,0,0,3,50,0,0
MFI-00113,Market Trader,School Fees,70416.0,3,17,7937.0,2,1,0,3,77,0,1
MFI-00114,Jua Kali Artisan,Business Expansion,17712.0,6,12,13616.0,2,1,0,5,8,1,0
