market_id,county,season,primary_animal_type,weekly_animal_throughput,vaccination_coverage_pct,distance_to_water_source_km,vet_inspections_per_month,prev_outbreaks_2yr,market_density_score,outbreak_risk_flag
MKT-0001,Samburu,Dry Season,Sheep,10,43.4,0.6,1,1,9,0
MKT-0002,Marsabit,Long Rains,Sheep,10,16.3,4.0,2,0,6,1
MKT-0003,West Pokot,Long Rains,Sheep,10,64.3,0.9,0,0,3,0
MKT-0004,Wajir,Dry Season,Camels,21,45.6,8.4,0,0,2,0
MKT-0005,Samburu,Dry Season,Goats,10,37.8,14.0,1,0,8,1
MKT-0006,Mandera,Long Rains,Sheep,11,33.0,1.0,1,0,6,0
MKT-0007,Baringo,Short Rains,Goats,10,35.3,0.6,0,1,3,0
MKT-0008,Marsabit,Long Rains,Sheep,20,8.8,4.2,2,0,3,0
MKT-0009,West Pokot,Long Rains,Camels,10,34.6,2.9,0,0,8,1
MKT-0010,Baringo,Long Rains,Goats,11,22.8,2.4,0,0,1,1
MKT-0011,Kajiado,Short Rains,Mixed,14,0.6,1.9,3,1,3,0
MKT-0012,Baringo,Short Rains,Sheep,10,15.5,3.0,3,0,5,0
MKT-0013,Garissa,Dry Season,Camels,10,60.2,26.9,2,0,5,1
MKT-0014,Kajiado,Dry Season,Goats,10,59.2,15.6,4,0,8,0
MKT-0015,Turkana,Dry Season,Cattle,10,40.9,7.4,1,0,6,0
MKT-0016,Narok,Dry Season,Camels,20,80.9,12.9,1,0,3,0
MKT-0017,Kajiado,Dry Season,Camels,10,10.2,0.5,2,1,4,0
MKT-0018,Kajiado,Short Rains,Cattle,21,36.8,0.9,3,2,4,0
MKT-0019,Marsabit,Long Rains,Cattle,10,39.8,2.8,0,2,6,1
MKT-0020,Laikipia,Short Rains,Mixed,10,43.7,8.3,5,0,9,0
MKT-0021,Baringo,Dry Season,Mixed,15,22.6,17.2,0,0,8,1
MKT-0022,Samburu,Dry Season,Mixed,11,50.2,2.1,0,0,7,0
MKT-0023,Narok,Dry Season,Camels,10,39.6,1.2,0,0,9,1
MKT-0024,Turkana,Long Rains,Camels,24,39.4,15.1,0,0,9,0
MKT-0025,Samburu,Dry Season,Camels,12,61.8,4.2,2,1,6,1
MKT-0026,Turkana,Dry Season,Mixed,10,46.6,9.6,2,1,9,1
MKT-0027,Wajir,Short Rains,Goats,12,49.9,6.4,0,0,8,0
MKT-0028,Marsabit,Dry Season,Camels,12,41.8,1.5,2,0,10,0
MKT-0029,Turkana,Short Rains,Camels,15,33.4,9.6,1,0,3,0
MKT-0030,Laikipia,Dry Season,Camels,15,33.3,4.4,1,0,6,0
MKT-0031,West Pokot,Short Rains,Mixed,11,31.5,2.7,0,1,4,1
MKT-0032,Samburu,Short Rains,Sheep,13,16.2,18.6,2,0,3,0
MKT-0033,Narok,Dry Season,Mixed,12,74.4,0.5,0,0,10,0
MKT-0034,West Pokot,Short Rains,Sheep,13,42.3,4.2,1,2,5,0
MKT-0035,Garissa,Short Rains,Mixed,14,50.1,2.9,2,0,8,0
MKT-0036,Marsabit,Long Rains,Goats,10,17.0,0.5,0,1,7,0
MKT-0037,Wajir,Dry Season,Goats,17,35.6,0.7,1,0,10,1
MKT-0038,West Pokot,Short Rains,Camels,10,57.3,1.5,1,1,7,1
MKT-0039,Samburu,Dry Season,Mixed,20,51.8,5.6,4,0,10,0
MKT-0040,West Pokot,Dry Season,Sheep,14,14.3,2.7,2,0,2,1
MKT-0041,Mandera,Long Rains,Sheep,10,39.7,14.6,1,0,7,0
MKT-0042,Narok,Long Rains,Goats,10,57.7,2.2,2,1,1,0
MKT-0043,Kajiado,Short Rains,Camels,10,66.4,10.2,1,0,6,1
MKT-0044,Kajiado,Long Rains,Sheep,10,15.5,1.9,3,0,10,0
MKT-0045,Turkana,Short Rains,Mixed,10,56.6,0.5,1,0,7,0
MKT-0046,Isiolo,Short Rains,Camels,13,63.1,2.5,0,0,10,0
MKT-0047,Isiolo,Long Rains,Mixed,10,31.5,14.5,0,1,2,1
MKT-0048,Kajiado,Long Rains,Mixed,12,50.2,0.7,1,0,8,0
MKT-0049,West Pokot,Dry Season,Goats,10,79.5,3.4,0,0,8,0
